user,artwork,q5,q1,q2,q3,q4
8,11,,,,,
8,12,,,,,
9,1,"Her position, she seems thinking intensely to something and her look is mysterious ",,"Absorbed, observed, intense, slightly scared",,"😮 surprise, 🤔 thoughtful, 😱 fear"
9,2,"A see, a sail",,It reminds me sailing with my old friends. Nice memories but also frightening experiences ,,"🙂 slightly happy, 🤔 thoughtful"
9,3,"Disorder, lots of details",,"Suspended, something must have happened ",,"😕 confused, 🤔 thoughtful"
9,4,"It seems him saving her, but I know the painting and she is actually about to kill him. It’s confusing",,"Confused, tricked",,"🤔 thoughtful, 😱 fear"
9,5,"A market, a kid trying to reach something, people chatting. There is a suspended atmosphere ",,"It reminds me a familiar place, but with a different atmosphere. I’m confused",,"😕 confused, 🤔 thoughtful"
9,6,The deadly athmospere,,"Thinking of the sense of life, anxiety  ",,"🤔 thoughtful, 😔 sadness"
9,7,A woman enjoying life in nature,,"Relax, fulfilment ",,😍 feelings of love or infatuation
9,8,"The creepy style, the red intense color, something unnatural ",,Frightened ,,😱 fear
9,9,"A lady having a nap in the nature, relaxing and possibly suffering because of  the hot weather ",,"Tired, need to relax",,🙂 slightly happy
9,10,She looks angry and cute at the same time,,"Angry, compassionate ",,😡 anger
9,11,"The bucolic atmosphere, pale colors",,"Peaceful, in contact with nature",,🙂 slightly happy
9,12,"The disproportion of parts, the angry face",,"Frightened, anxious",,"😕 confused, 😱 fear"
10,1,Woman in a flowing skirt,,Solitude,,🤔 thoughtful
10,2,A lot! The abstractness of it allows a lot of interpretations. ,,"Freedom, breath, fresh air, wind",,"🙂 slightly happy, 🤔 thoughtful"
10,3,,,,,
10,4,,,,,
10,5,,,,,
10,6,,,,,
10,7,,,,,
10,8,,,,,
10,9,,,,,
10,10,,,,,
10,11,,,,,
10,12,,,,,
11,1,the interesting facial expression of the person in the picture,,melancholic,,"😮 surprise, 🤔 thoughtful, 😔 sadness"
11,2,an horizon,,empty,,"🙂 slightly happy, 🤔 thoughtful"
11,3,chaos,,the chaos on the table and on the floor is a bit annoying,,"😕 confused, 😡 anger"
11,4,,,,,
11,5,,,,,
11,6,,,,,
11,7,,,,,
11,8,,,,,
11,9,,,,,
11,10,,,,,
11,11,,,,,
11,12,,,,,
12,1,The disarray and the colors ,,"loneliness, stuffy air",,"😮 surprise, 😕 confusion, 😔 sadness"
12,2,"The red sail, the blue sea, the light of the sun",,"Silence, equilibrium, energy (by colors) ",,😍 feelings of love or infatuation
12,3,"All objects on the table, the flowers on the floor",,"Sadness, precariousness",,"🙂 slightly happy, 😕 confused, 🤔 thoughtful"
12,4,The hair ,,Erotism ,,🙂 slightly happy
12,5,People busy,,Every day life,,"😕 confused, 😱 fear"
12,6,The sky,,"loneliness, desolation8",,"😕 confused, 😱 fear"
12,7,The landscape,,stillness,,"😄 happy, 🤔 thoughtful, 😔 sadness"
12,8,The red,,,,😮 surprise
12,9,,,,,
12,10,,,,,
12,11,,,,,
12,12,,,,,
13,1,An atmosphere out of the time,,I feel my mind in a oniric atmosphere ,,😮 surprise
13,2,I se the sun ,,I feel my body into this artwork,,😄 happy
13,3,I se a table in a total confusion,,I feel sadness,,😔 sadness
13,4,I see a siren in a green sea and a man that proves to safe her.,,I feel anxiety,,"😕 confused, 🤔 thoughtful, 😔 sadness"
13,5,I see a market popular scene,,I feel calm ,,"🙂 slightly happy, 🤔 thoughtful"
13,6,I see a tree in a poor campaign,,"I feel sadness, anxiety ",,"😕 confused, 😔 sadness, 😱 fear"
13,7,I see a relaxed woman,,I feel a hot and calm atmosphere,,"😍 feelings of love or infatuation, 🤔 thoughtful"
13,8,I see a red woman,,I feel fear and anxiety,,"🤔 thoughtful, 😔 sadness, 😱 fear"
13,9,,,,,
13,10,,,,,
13,11,,,,,
13,12,,,,,
14,1,"The woman is looking straight at me. She has something crumpled in her hand. Paper? There is maybe a letter torn on the floor. It is an 1800s scenario in fashion and decor. The decor is influenced by Asian Far East aesthetic - wallpaper, lantern. The furniture suggests the woman is well-to-do.",,"curious, engaged, puzzled, thoughtful",,"🤔 thoughtful, 🧠"
14,2,The white semi circle like a rising/ setting sun. It's a geometric abstracted image - evocative of a coastal landscape.,,"warm, content, hopeful",,"🙂 slightly happy, 🌡️"
14,3,Table in a restaurant or well-to-do living room. Flowers scattered on floor in the both the picture's bottom corners. Photographic-realism of painting - detailed. Candles are burnt to the quick and two bottles are on the floor under the table. There's no one in the image. The chairs are pulled out from the table. ,,Puzzled. Enquiring. Confused. Concerned.,,"😮 surprise, 😕 confused, 🤔 thoughtful, 😱 fear"
14,4,"A naked white, red headed woman is floating on her back in water. She may be unconscious/ dead. A naked young man with brown skin and black hair is leaning out of a boat and reaching under the woman's body with his left arm.",,"Curious, questioning",,"😕 confused, 🤔 thoughtful, 🙄"
14,5,street scene from 1800s - a street market with vendors and browsers?,,Slightly interested in seeing life in 1800s,,"😴 boredom, 🙄"
14,6,A slightly barren dark landscape. Dusky light. Two Leafless trees. Livestock.,,Melancholy,,😔 sadness
14,7,"A modernist painting with a seated woman possibly dozing, relaxing beside a window/ door opening out onto a pastoral scene of farmed fields.",,"relaxed, calm",,🙂 slightly happy
14,8,"a woman with her hair up - portrait, very red and brown and orange colours - warmth",,"warmth, intimacy, close",,🙂 slightly happy
14,9,A woman asleep on a hamock in an area of trees in a landscape with people in the distance,,"calm, voyeuristic, intrusive",,"😴 boredom, 🛌"
14,10,"A child, a girl, half portrait, profile, long hair, 1800s style. Realistic, well observed ",,"Fond, contemplative",,"🙂 slightly happy, ❤️"
14,11,Sheep walking in a line across a slightly flooded field. At least one black sheep,,calm,,😮 surprise
14,12,A portrait of a human hybrid with an owl in old fashioned formal man's suit.,,"Horror, creeped-out, nightmarish",,"🤢 disgust, 😱 fear"
15,1,"I find the soft tones of colour pinks & greens very pleasant. I see a frustrated writer, a page clenched in her fist and more ripped pieces of paper on the ground. Her facial expression suggests that she is slightly irritated or unsure.",,"It makes me feel calm, I am interested and curious in the story behind the image.",,🙂 slightly happy
15,2,I really like the texture & cracks in the paint when I zoom in on it. I especially like the softer white segment which does not have any black outline around it. Complimentary colours and shapes are pleasing.,,It makes me feel satisfied & happy. I like non-figurative art. Yellow is also my favourite colour!,,"😄 happy, 😍 feelings of love or infatuation"
15,3,The composition and the disarray of the objects after a meal or party. It is mildly recognisable but never in such luxurious surroundings.,,"It makes me feel amused, I recognise the aftermath of celebration. The composition, especially the flowers in the foreground and the white table cloth are satisfying.",,"😍 feelings of love or infatuation, 🙂 slightly happy, 🤔 thoughtful, 😂  laugh"
15,4,The shape of the outstretched physical forms and the difference in their skin tones. ,,"I am slightly confused about the message behind this image, I clicked the link to read the description but unfortunately this link alongside the others I have clicked into do not have an English translation where offered.",,"😕 confused, 🤔 thoughtful"
15,5,"The light and darkness in the alley. The lack of detail on the characters faces, it makes them seem mysterious.",,"I like this image, it makes me happy and makes me miss holidays and street markets!",,"😄 happy, 🙂 slightly happy, 😔 sadness"
15,6,I see two trees without leaves on them and some sheep in the background. The dark trees in a bleak setting strikes me most.,,It makes me feel surprised and a little sad.,,"😮 surprise, 😕 confused, 😔 sadness"
15,7,I see a woman sitting at her balcony with fields in the background. T he complimentary colours of blue and yellow strike me most.,,It makes me feel relaxed & happy.,,"😄 happy, 🙂 slightly happy"
15,8,I see a portrait of a woman in red. I am struck by the different brushstroke used on the top of her hair.,,It makes me feel relaxed & happy.,,"🙂 slightly happy, 🤔 thoughtful"
15,9,,,,,
15,10,,,,,
15,11,,,,,
15,12,,,,,
16,1,The stare ,,Empowered. Curious,,🤔 thoughtful
16,2,"Sunset on the ocean.
2 crossed lines",,Lonely. Still. Introspective ,,😔 sadness
16,3,Excess. Riches. Gluttony ,,Guilty. Hungry. Sickened,,🤢 disgust
16,4,The outstretched arm under her back.,,Erotic. Loving.,,😍 feelings of love or infatuation
16,5,The light,,Bored. Uninterested.,,😴 boredom
16,6,The tree. The wind. The air.,,Windswept. The elements. Defenceless ,,😮 surprise
16,7,The facial expressions ,,Longing. Restful,,🙂 slightly happy
16,8,The eyes. The red,,Angry. Frustrated.,,😡 anger
16,9,The flowing cloth. The pillow. Luxury,,Sleepy. Curious ,,🤔 thoughtful
16,10,No eye contact. Turning away.,,Shy. ,,😱 fear
16,11,The cows. The pattern of water,,Bored. Homesick,,😴 boredom
16,12,The owl face,,Scared.,,😱 fear
17,1,Intensity of the (returned) look. ,,This is a long and complex task. Words fall short... ,,"🙂 slightly happy, 🤔 thoughtful"
17,2,The red. ,,In-art-iculate. ,,Non emotional response to abstraction .
17,3,Brilliant play with the tradition of the still life.. ,,Not easy! ,,🙂 slightly happy
17,4,Picture needs to be bigger. Erotic scene from the patriarchal imaginary. Dark man rescues whiter woman. What do you think? ,,How long have you got? ,,😍 feelings of love or infatuation
17,5,19th century proletarian backstreet ,,Pass. ,,
17,6,"Bare trees in landscape, dusk? ",,I'm thinking of the PCI. ,,😴 boredom
17,7,Woman relaxing - servant apron? ,,Clear representation of the fields beyond. ,,🤔 thoughtful
17,8,Modigliani? ,,... ,,Your categories of feeling are entirely disputable.
17,9,"Another 'realist' representation of woman as spectacle, available to the male gaze.
",,Ring me on +353 87 2426 073.,,👩 
17,10,The youth of the girl is fine but blush on cheeks misjudged. ,,🚩 ,,
17,11,Má non é in specchio? ,,No má penso in Italian... ,,😴 boredom
17,12,Belated attempt to stimulate reaction in this questionnaire? ,,Ah yes - slight shock. ,,See above .Respond to my responses if you like: rodstoneman@gmail.com 
18,1,"The colors and the compositions. How it is depicting the lady who is biting her lips, her posture, the birds on the background and the teared up paper on the floor. ",,Stressed and a bit anxious ,,"😕 confusion, 🤔 thoughtful, 😱 fear"
18,2,Colors and lines forming shaping triangular shapes. Unbalance and pressure.,,"Heavy, like I need to move. Excitement that brings a smile on my face. ",,"🙂 slightly happy, 😮 surprise, 🤔 thoughtful"
18,3,In the middle of celebration/party in 50's style jazz,,"Curious, excited, and relaxed",,"😄 happy, 😮 surprise, 🤔 thoughtful"
18,4,"Love, passion, nudity, sacrifice, and death",,"Thinking, wondering, and curios ",,"😍 feelings of love or infatuation, 😕 confused, 🤔 thoughtful, 😔 sadness"
18,5,,,,,
18,6,,,,,
18,7,,,,,
18,8,,,,,
18,9,,,,,
18,10,,,,,
18,11,,,,,
18,12,,,,,
19,1,"torn letter, face expression, flying birds in the background, the specific feel of the light ... ",,"like a pause, inner anguish, after something has happened... the byting lip, supressed emotion",,"😮 surprise, 😕 confusion"
19,2,"ocean, sunset or sunrise... ",,longing,,"😍 feelings of love or infatuation, 🙂 slightly happy"
19,3,"after party, flowers on the floor, contrast between white and dark, burned candles",,"emptiness, quietness after the storm, still warm",,"😍 feelings of love or infatuation, 🙂 slightly happy, warmth"
19,4,the whitness of the skin of the sirene ,,expectation for what will happen,,😕 confused
19,5,"figure standing in the middle the light coming through the textile like roofs, intimacy of the street",,"expectation, encounter",,🤔 thoughtful
19,6,"darkness, something heavy, death... but again, as the sun is waking up in the distance... new life",,"a bit sad, nostalgic...",,😔 sadness
19,7,"womens face, closed eyes, hands.. a memory of europe...",,"nostalgic, breathing in morning air...",,🤔 thoughtful
19,8,"simplicity of the portrait, earing",,positive,,comfortable
19,9,"the feeling of comfortability of the woman in the net, interesting details",,"relaxed, neutral",,🙂 slightly happy
19,10,"the messy hair, the red chick, is it from heat or from someones slap?",,confused feelings,,😕 confused
19,11,the way the animals are aligned but my eyes go into horizon,,where do animals go!looks like the end of the day... goodbyes.,,😴 boredom
19,12,"the rawness the pinning eyes, huge hand, darkness",,"dark, heavy, agressive",,"😱 fear, demanding"
20,1,An angry woman,,Angry too.,,"😕 confusion, 😔 sadness, 😡 anger"
20,2,A landscape. The colors and lines.,,Curious ,,"😮 surprise, 😕 confused, 🤔 thoughtful"
20,3,A room after a party. Or a room after a party which ended because of a fight between 2 drunk men.,,Disorganized and curious.,,"😮 surprise, 😕 confused, 🤔 thoughtful"
20,4,Two lovers.,,Curious and sad.,,"😕 confused, 🤔 thoughtful, 😔 sadness, 😡 anger"
20,5,a foreigner arriving in a city,,loneliness,,"😕 confused, 🤔 thoughtful, 😔 sadness, 😱 fear"
20,6,a landscape in late autumn,,"tired, suffocated, hopeless",,"😕 confused, 🤔 thoughtful, 😔 sadness, 😱 fear"
20,7,"A women resting/thinking/sleeping near to the window, in a house in the countryside.",,"Peaceful, calm",,"😍 feelings of love or infatuation, 🙂 slightly happy"
20,8,"A portrait, a woman",,,,"😕 confused, 🤔 thoughtful"
20,9,,,,,
20,10,,,,,
20,11,,,,,
20,12,,,,,
21,1,The confrontational pose of the subject and the ephemeral quality of the light. It’s engaging. ,,,,🙂 slightly happy
21,2,Balance of colors. ,,Meditative ,,🤔 thoughtful
21,3,Lovely mess!,,Spent. ,,🙂 slightly happy
21,4,Temptation. ,,Weary,,😔 sadness
21,5,,,,,
21,6,,,,,
21,7,A figure caught between landscape and reflections. ,,"Curious, slightly bothered by the direction of the light and shadows in the figure n",,🤔 thoughtful
21,8,Portrait. Recalls Matisse use of asymmetrical face treatment to imply depth. ,,Curious. ,,🤔 thoughtful
21,9,,,,,
21,10,,,,,
21,11,,,,,
21,12,,,,,
22,1,"realism and capturing the moment, replicating the focus shift one associated with cameras is probably so difficult",,feels like history was more interesting than present art ,,"none of them apply, because emotional representations are too crude and simplified"
22,2,"sun, beach, sand and playfulness",,"uplifting and warm, has a nostalgic touch",,none of these crude emotions - something else
22,3,unruffled table and ruffled floor,,"it looks like a couple had a bad fight, or even a disturbing forensic scene - however most likely it was the kids who were responsible for this scene",,investigative
22,4,A nymph or a lover - the contrast strikes me,,"allegorical and a bit archetypal scene - what does the man ""represent"" or the woman /mermaid? is the guy a saviour figure or a potential victim",,none of the above
22,5,,,,,
22,6,,,,,
22,7,,,,,
22,8,,,,,
22,9,,,,,
22,10,,,,,
22,11,,,,,
22,12,,,,,
23,1,Her posture,,Inspired,,
23,2,Moon,,Confused,,😕 confused
23,3,After party,,Happy and tired,,😄 happy
23,4,Woman in water,,Saved,,😄 happy
23,5,Medieval times,,Been there...very happy,,😄 happy
23,6,Dead tree,,Begging ,,🤔 thoughtful
23,7,Her peace,,Relaxed,,😄 happy
23,8,Double chin,,Funny happy,,😂  laugh
23,9,The ruffles of the sheet,,Relaxed,,😄 happy
23,10,Red cheels and red hair,,Happy,,😄 happy
23,11,The black sheep,,Bored,,😴 boredom
23,12,Strange face,,Confused but love it ,,🤔 thoughtful
24,1,Scary lady’s facial expression,,Feel thrilled. I try my best to avoid thriller movies. Wouldn’t click the link.,,😱 fear
24,2,"The sea and sun behind a land area
Orange stands out",,"Abstract, interesting, calm, uncertain",,🙂 slightly happy
24,3,"Table and food and flowers
The white area stands out",,"Feeling unsure, a bit dark, and chilly calm? 🤷",,🤷
24,4,"Bodies
Their skin colors contrast",,"Love, romantic, calm, a bit sensual
Does it suppose to be a sad ending?",,😍 feelings of love or infatuation
24,5,,,,,
24,6,,,,,
24,7,,,,,
24,8,,,,,
24,9,,,,,
24,10,,,,,
24,11,,,,,
24,12,,,,,😱 fear
25,1,The woman’s sitting position and the birds,,Suspense; like she’s planning to move but isn’t sure if it will be abrupt or slow,,🤔 thoughtful
25,2,The line that is not straight ,,Hopeful like a new day,,"🙂 slightly happy, Hopeful "
25,3,A mess; the kind that happens after a long light of eating drinking and talking until morning,,Glad; unsure about those flowers; ,,"🙂 slightly happy, 😕 confused"
25,4,The angle strikes me most; it looks like a rescue ,,Annoyed that this woman needs rescuing and is not empowered; unless she is manipulating the whole thing; or is it out of love,,"😍 feelings of love or infatuation, Annoyed"
25,5,A solitarybfigure amongst the crowd ,,Lonely,,Lonely
25,6,The bare trees,,End of the world,,"😔 sadness, Peaceful "
25,7,Woman and a bed; she doesn’t want to move and doesn’t have to; she’s taking in the moment,,Relaxed,,"🤔 thoughtful, Relaxed"
25,8,Shades of red,,Transsexuals; ,,"😔 sadness, 😡 anger"
25,9,,,,,
25,10,,,,,
25,11,,,,,
25,12,,,,,
26,1,"Asian style cranes on textiles, lantern, and bamboo. European furnishings. A person in an epicly-shouldered dress with a keen expression. Ornate details, light and shadow play, a mess on the floor. ",,"Frustrated & enclosed. I feel like the painter is using their skill to manipulate me into liking the protagonist of the painting, and like the painting is all about the painter's gaze. ",,"🤔 thoughtful, 😴 boredom"
26,2,I see an abstract sea/landscape with a sense of fun and cyclical movement. ,,"Interested, bright, summer. I feel a trajectory of movement in this painting and it feels calm/happy. ",,😄 happy
26,3,Afterparty blue-hued twilight. Carefully painted wrinkles on a tablecloth. Flowers on the floor - absolute excess. ,,Amused & entranced.,,"🙂 slightly happy, 🤔 thoughtful, 😂  laugh, party "
26,4,Lusty heteronormative gender relations at sea. A woman floats and looks docile while a man lunges forward from a boat in an active stance. Gorgeous water tones and golden hour light. A toad or something under the water. ,,Somewhere between interest and boredom. ,,😕 confused
26,5,"Soft dappled light, muted colors, shade structures. ",,Interested,,"🙂 slightly happy, 🤔 thoughtful"
26,6,"Striking composition, early spring and possibly early morning scene. Animals dotted around. Possibly a drought. ",,Bold but tender,,"😄 happy, 😱 fear"
26,7,"Almost cubist composition, thoughtful expression, glassy reflections, agricultural setting. ",,"Serene, engaged",,"🙂 slightly happy, 🤔 thoughtful"
26,8,Red & unreal depiction of a fancy lady,,lol,,"😄 happy, 😂  laugh"
26,9,,,,,
26,10,,,,,
26,11,,,,,
26,12,,,,,
27,1,A woman waiting in a messy room,,"Tired, impatient",,"🙂 slightly happy, 🤔 thoughtful, 😔 sadness"
27,2,A sun rising,,Makes me smile,,😄 happy
27,3,"Reminds me of after a party scene, maybe a wedding",,"Tired, nostalgic, loving",,"😄 happy, 😍 feelings of love or infatuation"
27,4,A man trying to save a drowning woman or lift a body of someone who has already drowned,,Sad,,"😔 sadness, 😱 fear"
27,5,"Busy, dirty Street",,Sad,,😔 sadness
27,6,"A lone, isolated tree",,"Sad, lonely, empty",,😔 sadness
27,7,A woman resting,,"Pride, tiredness, calm",,"🙂 slightly happy, 🤔 thoughtful, 😔 sadness"
27,8,A stern woman,,Scared,,"😡 anger, 😱 fear"
27,9,,,,,
27,10,,,,,
27,11,,,,,
27,12,,,,,
28,1,The birds looked like snakes and bars attacking when seen on the small phone screen. She looks rather unhappy. ,,It's not a happy image. Feel a bit on edge. ,,"😕 confusion, 🤔 thoughtful"
28,2,A figure moving to the right. ,,Life can be a drudge. ,,😔 sadness
28,3,Flowers strewn on the floor. ,,It's all over. ,,"🤔 thoughtful, 😔 sadness"
28,4,Naked man reaching out to a woman. ,,Their love cannot be consummated. ,,😔 sadness
28,5,Two women embracing in friendship. ,,Moved by their closeness. ,,"🤔 thoughtful, 😔 sadness"
28,6,Tree looks like a figure with raised arms. ,,It's mysterious. ,,"😮 surprise, 🤔 thoughtful"
28,7,Woman sunning herself in meditative mood. ,,A bit jealous. ,,"🙂 slightly happy, 🤔 thoughtful"
28,8,Woman with a turtle on her eye. Or her false eyelashes are falling off. ,,Repulsed. ,,"😕 confused, 🤢 disgust"
28,9,The shadow on her neck. A cat head to the right of her hand in the ground. ,,Is that a cat head? Curiosity. ,,"😮 surprise, 😕 confused, 🤔 thoughtful, 😂  laugh"
28,10,The girl's red cheeks. ,,Is she sunburned? ,,"😕 confused, 🤔 thoughtful"
28,11,SHEEP! ,,Happy ,,"😄 happy, 😍 feelings of love or infatuation"
28,12,Creepy owl head with human hands. ,,Repulsion,,"🤢 disgust, 😱 fear"
29,1,Color and composition. ,,I like it. But not a strong emotional response. ,,🤔 thoughtful
29,2,Ascendancy ,,It doesn’t interest me that much. ,,😴 boredom
29,3,Disorder. ,,Unsettled. ,,Angst. 
29,4,I saw the man before I realized there was a woman there. ,,Emotions changed when I identified a helpless woman. ,,🤢 disgust
29,5,The sunlight. But I focused on it second. At first I noticed the era. ,,It requires study. ,,🤔 thoughtful
29,6,Starkness. ,,Lonely. ,,😔 sadness
29,7,The face of the woman. ,,Sadness. She seems overburdened. ,,🤔 thoughtful
29,8,Distortions. ,,Don’t like it. ,,😕 confused
29,9,Peace. ,,Relaxed. ,,🙂 slightly happy
29,10,She looks petulant. Or irritated. ,,Irritable. ,,😡 anger
29,11,The beauty of nature. ,,Happy. ,,😄 happy
29,12,Darkness. Mystery. ,,It’s not appealing. ,,"😴 boredom, 🤢 disgust"
30,1,Birds and sofa,,kalm,,
30,2,a wave and sun,,thoughtful,,"😕 confused, 🤔 thoughtful, 😔 sadness"
30,3,disorder and happiness,,Happy,,"😄 happy, 😍 feelings of love or infatuation, 😂  laugh"
30,4,angel and demon,,sex,,sex
30,5,,,,,
30,6,,,,,
30,7,,,,,
30,8,,,,,
30,9,,,,,
30,10,,,,,
30,11,,,,,
30,12,,,,,
31,1,A thoughtful/confused woman ,,Anxious ,,"😕 confusion, 🤔 thoughtful"
31,2,Sunrise ,,Open expansive,,"😄 happy, 🤔 thoughtful"
31,3,The aftermath or interrupted meal,,Worried curious ,,"😮 surprise, 😕 confused, 🤔 thoughtful, 😱 fear"
31,4,Saving/sharing togetherness ,,Serene curious happy ,,"😄 happy, 🤔 thoughtful, Intriguing "
31,5,How dreary and sad it looks,,Sad depressed ,,😔 sadness
31,6,Stark devastation ,,Sad empty hopeful ,,"😔 sadness, Hopeful "
31,7,Contemplation in a very plain environment ,,Thoughtful yet basically lazy/ boredom ,,"🤔 thoughtful, 😴 boredom"
31,8,Bright distortion ,,Confusion distorted yet planned ,,Not a fan 
31,9,,,,,
31,10,,,,,
31,11,,,,,
31,12,,,,,
32,1,"The background, of birds ",,A little disturbed,,😕 confusion
32,2,"The moon with shades of color and wonder if it is water 
",,,,🙂 slightly happy
32,3,A celebration but no one is there to celebrate ,,Why is no one there ?,,😔 sadness
32,4,He is desperately trying to save her,,"Please don't be too late , I hope she lives, Oh God",,😱 fear
32,5,"A woman who is oblivious to what is going  on around her , or a superior attitude ",,Bothered,,
32,6,Trees praising God and g icing the birds a place to call home ,,,,
32,7,A prideful woman ,,Why ,,Be grateful 
32,8,The difference In her eyes,,Confused,,😕 confused
32,9,A little difficult to  discern what is in her hand that has fallen out .,,Concerned,,😔 sadness
32,10,A sick or angry child,,Wanting to help,,Concern
32,11,Sheep that have been led to water ,,Good / happy,,"😄 happy, 🙂 slightly happy, 🤔 thoughtful"
32,12,Ewwww,,Scary,,🤢 disgust
33,1,the pose and the movement. She seems to want to get up and run. ,,"excitement, impatience, game",,fire
